Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Hemiptera,Reduviidae,Irantha_armipes,No care,6.43,30.6,*
Hemiptera,Reduviidae,Panstrongylus_geniculatus,No care,131.54,61.6,*
Hemiptera,Reduviidae,Rhinocoris_bicolor,No care,34.38,*,3.74
Hemiptera,Reduviidae,Rhinocoris_carmelita,Guarding,8.92,129.6,2.37
Hemiptera,Reduviidae,Rhinocoris_fuscipes,No care,22.11,340,83.78
Hemiptera,Reduviidae,Rhinocoris_marginatus,No care,47.45,154.7,0.9
Hemiptera,Reduviidae,Rhinocoris_rapax,No care,11.51,*,2.41
Hemiptera,Reduviidae,Rhinocoris_tristis,No care [for female],10.22,172.8,0.93
Hemiptera,Reduviidae,Rhodnius_neivai,No care,67.11,885.5,*
Hemiptera,Reduviidae,Sphedanolestes_signatus,No care,5.38,41,*
Hemiptera,Reduviidae,Sycanus_collaris,No care,67.63,229,*
Hemiptera,Reduviidae,Triatoma_infestans,No care,215.97,150,*
Hemiptera,Reduviidae,Triatoma_maculata,No care,215.97,502,*
Hemiptera,Reduviidae,Triatoma_pallidipennis,No care,215.97,499,*
Hemiptera,Scutelleridae,Pachycoris_klugii,Guarding,72.93,81,8.36
Hemiptera,Scutelleridae,Pachycoris_torridus,Guarding,120.17,*,5.45
Hemiptera,Tingidae,Corythucha_ciliata,No care,0.42,166,*
Hemiptera,Tingidae,Corythucha_marmorata,No care,0.23,136.7,*
Hemiptera,Tingidae,Corythucha_pruni,No care,0.53,160.7,*
Hemiptera,Tingidae,Gargaphia_solani,Guarding,0.65,127.8,0.04
Hemiptera,Tingidae,Urentius_echinus,No care,0.78,74,*
Hymenoptera,Aphelinidae,Encarsia_inaron,No care,0.01,129,*
Hymenoptera,Bethylidae,Pristocera_rufa,Guarding,1.95,21.5,0.33
Hymenoptera,Braconidae,Apharaeta_genevensis,No care,0.15,175,*
Hymenoptera,Braconidae,Cotesia_glomerata,No care,0.15,175,*
Hymenoptera,Braconidae,Pholetesor_ornigis,No care,0.08,370,*
Hymenoptera,Cynipidae,Diplolepis_rosae,No care,0.33,408,0
Hymenoptera,Cynipidae,Periclistus_brandtii,No care,0.04,73,0
Hymenoptera,Cynipidae,Synergus_albipes,No care,0.1,35,0
Hymenoptera,Cynipidae,Xestophanes_potentillae,No care,0.03,88,0
Hymenoptera,Figitidae,Anacharis_immunis,No care,0.03,20,0.01
Hymenoptera,Figitidae,Callaspidia_sp,No care,0.72,20,0
Hymenoptera,Figitidae,Figites_sp,No care,0.23,90,0
Hymenoptera,Figitidae,Phaenoglyphis_viliosa,No care,0.03,80,9.22E-05
Hymenoptera,Ichneumonidae,Angitia_fenestralis,No care,1.43,540,*
Hymenoptera,Ichneumonidae,Aptesis_nigrocincta,No care,3.54,20.2,*
Hymenoptera,Ichneumonidae,Bathyplectes_curculionis,No care,1.23,200,*
Hymenoptera,Ichneumonidae,Campoplex_haywardi,No care,1.1,87,*
Hymenoptera,Ichneumonidae,Diadegma_insulare,No care,0.18,150,*
Hymenoptera,Mymaridae,Anaphes_flavipes,No care,0.02,20,*
Hymenoptera,Pamphiliidae,Cephalcia_fuscipennis,No care,8.65,23,*
Hymenoptera,Pamphiliidae,Cephalcia_isshikii,Guarding,63.41,51,3.67
Hymenoptera,Pergidae,Dielocerus_diasi,Guarding,59.06,75,*
Hymenoptera,Pergidae,Digelasinus_diversipes,Guarding,50.92,75,*
Hymenoptera,Pergidae,Thermos_olfersii,Guarding,77.04,27,*
Hymenoptera,Sphecidae,Philanthus_triangulum,No care,10.58,*,70.45
